SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Nov 25 14:56:51 PST 2020
User: sswihar
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: S12095
Integration Time (usec): 220000 (S12095)
Spectra Averaged: 1 (S12095)
Boxcar Smoothing: 0 (S12095)
Correct for Electrical Dark: No (S12095)
Strobe/Lamp Enabled: No (S12095)
Correct for Detector Non-linearity: No (S12095)
Correct for Stray Light: No (S12095)
Number of Pixels in Processed Spectrum: 1024
>>>>>Begin Processed Spectral Data<<<<<
186.69	1504.00
187.14	1508.00
187.59	1505.00
188.03	1515.00
188.48	1507.00
188.93	1510.00
189.37	1502.00
189.82	1505.00
190.27	1509.00
190.72	1505.00
191.16	1511.00
191.61	1505.00
192.06	1506.00
192.50	1507.00
192.95	1501.00
193.40	1505.00
193.85	1509.00
194.29	1501.00
194.74	1507.00
195.19	1508.00
195.64	1507.00
196.08	1510.00
196.53	1509.00
196.98	1511.00
197.43	1502.00
197.87	1512.00
198.32	1512.00
198.77	1508.00
199.22	1506.00
199.67	1512.00
200.11	1509.00
200.56	1505.00
201.01	1496.00
201.46	1506.00
201.91	1512.00
202.35	1505.00
202.80	1510.00
203.25	1506.00
203.70	1509.00
204.15	1509.00
204.60	1506.00
205.04	1503.00
205.49	1509.00
205.94	1506.00
206.39	1506.00
206.84	1514.00
207.29	1507.00
207.74	1509.00
208.18	1504.00
208.63	1506.00
209.08	1511.00
209.53	1504.00
209.98	1504.00
210.43	1510.00
210.88	1503.00
211.33	1503.00
211.77	1503.00
212.22	1513.00
212.67	1511.00
213.12	1514.00
213.57	1508.00
214.02	1506.00
214.47	1505.00
214.92	1509.00
215.37	1507.00
215.82	1504.00
216.27	1509.00
216.72	1506.00
217.17	1507.00
217.62	1513.00
218.06	1513.00
218.51	1512.00
218.96	1516.00
219.41	1507.00
219.86	1508.00
220.31	1505.00
220.76	1513.00
221.21	1510.00
221.66	1513.00
222.11	1513.00
222.56	1517.00
223.01	1501.00
223.46	1509.00
223.91	1508.00
224.36	1517.00
224.81	1516.00
225.26	1510.00
225.71	1513.00
226.16	1510.00
226.61	1516.00
227.07	1509.00
227.52	1511.00
227.97	1518.00
228.42	1507.00
228.87	1517.00
229.32	1518.00
229.77	1518.00
230.22	1515.00
230.67	1516.00
231.12	1512.00
231.57	1515.00
232.02	1513.00
232.47	1518.00
232.92	1513.00
233.37	1516.00
233.83	1521.00
234.28	1518.00
234.73	1518.00
235.18	1514.00
235.63	1516.00
236.08	1519.00
236.53	1526.00
236.98	1516.00
237.44	1523.00
237.89	1522.00
238.34	1524.00
238.79	1524.00
239.24	1527.00
239.69	1521.00
240.14	1527.00
240.60	1525.00
241.05	1525.00
241.50	1521.00
241.95	1525.00
242.40	1523.00
242.85	1538.00
243.31	1527.00
243.76	1530.00
244.21	1526.00
244.66	1530.00
245.11	1538.00
245.57	1536.00
246.02	1536.00
246.47	1540.00
246.92	1531.00
247.38	1537.00
247.83	1537.00
248.28	1536.00
248.73	1533.00
249.18	1541.00
249.64	1548.00
250.09	1552.00
250.54	1556.00
251.00	1555.00
251.45	1552.00
251.90	1560.00
252.35	1565.00
252.81	1567.00
253.26	1580.00
253.71	1585.00
254.16	1597.00
254.62	1596.00
255.07	1606.00
255.52	1619.00
255.98	1644.00
256.43	1657.00
