Wave	Shawn LED
324.53	1008.77
324.89	1114.10
325.26	1158.57
325.63	1095.37
326.00	1116.44
326.37	1114.10
326.74	1053.24
327.10	1114.10
327.47	1060.26
327.84	1102.39
328.21	1078.99
328.58	1139.84
328.95	1146.86
329.31	1090.69
329.68	1102.39
330.05	1062.60
330.42	1095.37
330.79	1095.37
331.15	1076.65
331.52	1107.07
331.89	1156.22
332.26	1146.86
332.63	1179.63
332.99	1111.75
333.36	1146.86
333.73	1104.73
334.10	1062.60
334.47	1198.35
334.83	1139.84
335.20	1123.46
335.57	1078.99
335.94	1095.37
336.30	1116.44
336.67	1146.86
337.04	1039.20
337.41	1153.88
337.77	1081.33
338.14	1081.33
338.51	1097.71
338.88	1118.78
339.24	1074.31
339.61	1111.75
339.98	1158.57
340.34	1125.80
340.71	1083.67
341.08	1142.18
341.45	1067.28
341.81	1139.84
342.18	1125.80
342.55	1029.84
342.91	1036.86
343.28	1118.78
343.65	1111.75
344.01	1156.22
344.38	1086.01
344.75	1020.47
345.11	1088.35
345.48	1034.52
345.85	1069.62
346.21	1172.61
346.58	1067.28
346.95	1156.22
347.31	1165.59
347.68	1118.78
348.05	1090.69
348.41	1043.88
348.78	1067.28
349.15	1128.14
349.51	1093.03
349.88	1034.52
350.25	1090.69
350.61	1193.67
350.98	1111.75
351.34	1074.31
351.71	1093.03
352.08	1088.35
352.44	1088.35
352.81	1095.37
353.17	1130.48
353.54	1093.03
353.91	1097.71
354.27	1118.78
354.64	1118.78
355.00	1046.22
355.37	1027.50
355.74	1109.41
356.10	1050.90
356.47	1053.24
356.83	1095.37
357.20	1093.03
357.56	1048.56
357.93	1179.63
358.29	1090.69
358.66	1083.67
359.03	1177.29
359.39	1146.86
359.76	1074.31
360.12	1083.67
360.49	1137.50
360.85	1029.84
361.22	1095.37
361.58	1132.82
361.95	1090.69
362.31	1114.10
362.68	1135.16
363.04	1095.37
363.41	1184.31
363.77	1102.39
364.14	1043.88
364.50	1132.82
364.87	1086.01
365.23	1081.33
365.60	1142.18
365.96	1170.27
366.33	1100.05
366.69	1076.65
367.06	1121.12
367.42	1118.78
367.79	1118.78
368.15	1156.22
368.52	1086.01
368.88	1027.50
369.24	1053.24
369.61	1116.44
369.97	1062.60
370.34	1097.71
370.70	1107.07
371.07	1078.99
371.43	1132.82
371.79	1074.31
372.16	1121.12
372.52	1076.65
372.89	1144.52
373.25	1142.18
373.62	1153.88
373.98	1149.20
374.34	1111.75
374.71	1128.14
375.07	1067.28
375.44	1069.62
375.80	1086.01
376.16	1041.54
376.53	1104.73
376.89	1088.35
377.25	1067.28
377.62	1139.84
377.98	1102.39
378.35	1116.44
378.71	1104.73
379.07	1046.22
379.44	1125.80
379.80	1139.84
380.16	1184.31
380.53	1097.71
380.89	1146.86
381.25	1102.39
381.62	1107.07
381.98	1064.94
382.34	1118.78
382.71	1151.54
383.07	1025.15
383.43	1128.14
383.80	1114.10
384.16	1100.05
384.52	1114.10
384.88	1107.07
385.25	1097.71
385.61	1107.07
385.97	1144.52
386.34	1050.90
386.70	1097.71
387.06	1050.90
387.42	1114.10
387.79	1090.69
388.15	1170.27
388.51	1053.24
388.87	1086.01
389.24	1090.69
389.60	1048.56
389.96	1097.71
390.32	1006.43
390.69	1097.71
391.05	1100.05
391.41	1151.54
391.77	1121.12
392.14	1062.60
392.50	1193.67
392.86	1156.22
393.22	1107.07
393.59	1095.37
393.95	1036.86
394.31	1083.67
394.67	1078.99
395.03	1057.92
395.40	1160.91
395.76	1086.01
396.12	1060.26
396.48	1076.65
396.84	1125.80
397.20	1203.04
397.57	1102.39
397.93	1078.99
398.29	1095.37
398.65	1100.05
399.01	1167.93
399.37	1132.82
399.74	1097.71
400.10	1121.12
400.46	1172.61
400.82	1114.10
401.18	1149.20
401.54	1121.12
401.90	1088.35
402.27	1170.27
402.63	1128.14
402.99	1160.91
403.35	1191.33
403.71	1160.91
404.07	1214.74
404.43	1179.63
404.79	1219.42
405.16	1095.37
405.52	1181.97
405.88	1093.03
406.24	1074.31
406.60	1191.33
406.96	1135.16
407.32	1174.95
407.68	1095.37
408.04	1076.65
408.40	1109.41
408.76	1109.41
409.12	1107.07
409.48	1102.39
409.84	1071.97
410.21	1041.54
